state_id,state_level,asset,basis_state,funding_state,funding_acceleration,vol_state,oi_state,mark_index_state,relative_state,systemic_state,time_epoch,event_count,frequency,transition_entropy,conditional_entropy,entropy_reduction,effect_size_smd,null_ci_excludes_zero,vol_matched_beaten,null_beaten,null_effect,median_resolution_time,tail_expansion,subperiod_stability,span_days,temporal_depth_ok,btc_eth_replication,mechanism,redundant_with,status
BTC_F_ACCEL_POS,L1,BTC,,,F_ACCEL_POS,,DEFERRED,,,,ANY,1047,0.307851,,3.309612,0.012314,0.063081,True,True,True,1.018633,3.0,,True,140.2,True,,funding acceleration (crowding build/unwind),,FALSIFIED
BTC_F_ACCEL_NEG,L1,BTC,,,F_ACCEL_NEG,,DEFERRED,,,,ANY,1021,0.300206,,3.312792,0.009135,-0.083568,True,True,True,0.799443,3.0,,True,140.4,True,,funding acceleration (crowding build/unwind),,FALSIFIED
BTC_SYNCHRONIZED,L1,BTC,,,,,DEFERRED,,SYNCHRONIZED,,ANY,1757,0.516613,,3.314242,0.007685,0.055092,True,True,True,1.000005,3.0,,True,141.7,True,,cross-asset relative dislocation (BTC/ETH),,FALSIFIED
BTC_BTC_LED,L1,BTC,,,,,DEFERRED,,BTC_LED,,ANY,1017,0.29903,,3.283753,0.038174,-0.144479,True,True,True,0.639665,3.0,,True,140.6,True,,cross-asset relative dislocation (BTC/ETH),,FALSIFIED
BTC_ETH_LED,L1,BTC,,,,,DEFERRED,,ETH_LED,,ANY,627,0.184358,,3.298027,0.0239,0.131776,True,True,True,1.122875,2.0,,True,139.8,True,,cross-asset relative dislocation (BTC/ETH),,FALSIFIED
BTC_NORMAL_CROSS_STATE,L1,BTC,,,,,DEFERRED,,,NORMAL_CROSS_STATE,ANY,2524,0.742135,,3.308954,0.012973,0.10916,True,True,True,1.114783,8.0,,True,141.6,True,,cross-asset systemic stress classification,,FALSIFIED
BTC_BTC_SPECIFIC,L1,BTC,,,,,DEFERRED,,,BTC_SPECIFIC,ANY,388,0.114084,,3.06682,0.255107,-0.520885,True,False,False,0.008529,2.0,,True,135.5,True,,cross-asset systemic stress classification,,FALSIFIED
BTC_ETH_SPECIFIC,L1,BTC,,,,,DEFERRED,,,ETH_SPECIFIC,ANY,325,0.09556,,3.313016,0.008911,0.007826,False,True,False,0.930614,1.0,,False,137.9,True,,cross-asset systemic stress classification,,FALSIFIED
BTC_SYSTEMIC_STRESS,L1,BTC,,,,,DEFERRED,,,SYSTEMIC_STRESS,ANY,164,0.048221,,3.078583,0.243344,-0.506701,True,False,False,-0.065908,1.0,,True,135.2,True,,cross-asset systemic stress classification,,FALSIFIED
BTC_B0_NORMAL+F_NEG_ELEVATED,L2,BTC,,,,,DEFERRED,,,,ANY,1386,0.407527,,3.267836,0.054091,0.184378,True,True,True,1.314295,2.0,,True,141.6,True,,composite state,,FALSIFIED
BTC_B0_NORMAL+F_NORMAL,L2,BTC,,,,,DEFERRED,,,,ANY,1056,0.310497,,3.280256,0.041671,0.218285,True,True,True,1.22061,5.0,,True,141.0,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,L2,BTC,,,,,DEFERRED,,,,ANY,361,0.106145,,3.020906,0.301021,-0.534513,True,False,False,0.094589,1.0,,True,139.8,True,,composite state,,FALSIFIED
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,L2,BTC,,,,,DEFERRED,,,,ANY,189,0.055572,,2.379963,0.941964,-1.059772,True,True,True,-0.870756,1.0,,True,136.7,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME,L2,BTC,,,,,DEFERRED,,,,ANY,124,0.03646,,2.873043,0.448884,-0.682883,True,True,True,-0.328212,1.0,,True,112.7,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B0_NORMAL+F_NEG_EXTREME,L2,BTC,,,,,DEFERRED,,,,ANY,109,0.032049,,3.058291,0.263636,0.385075,True,True,True,1.57531,1.0,,True,114.0,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,L2,BTC,,,,,DEFERRED,,,,ANY,103,0.030285,,3.156047,0.16588,-0.164762,True,True,True,0.668658,1.0,,True,113.0,True,,composite state,,FALSIFIED
BTC_B3_ELEVATED_NEGATIVE+F_NORMAL,L2,BTC,,,,,DEFERRED,,,,ANY,46,0.013525,,2.645597,0.67633,-0.935373,True,False,False,,1.0,,True,139.5,True,,composite state,,SPARSE_STATE
BTC_B4_EXTREME_NEGATIVE+F_NORMAL,L2,BTC,,,,,DEFERRED,,,,ANY,27,0.007939,,1.759776,1.562151,-1.539915,True,False,False,,1.0,,False,134.0,True,,composite state,,SPARSE_STATE
BTC_B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,L3,BTC,,,,,DEFERRED,,,,ANY,752,0.221111,,3.263771,0.058156,0.161497,True,True,True,1.305186,2.0,,True,141.0,True,,composite state,,FALSIFIED
BTC_B0_NORMAL+F_NORMAL+V_NORMAL,L3,BTC,,,,,DEFERRED,,,,ANY,622,0.182887,,3.287851,0.034076,0.178552,True,True,True,1.166316,4.0,,True,140.8,True,,composite state,,FALSIFIED
BTC_B0_NORMAL+F_NEG_ELEVATED+V_LOW,L3,BTC,,,,,DEFERRED,,,,ANY,325,0.09556,,3.22974,0.092187,0.164386,True,True,True,1.229925,2.0,,True,140.5,True,,composite state,,FALSIFIED
BTC_B0_NORMAL+F_NEG_ELEVATED+V_HIGH,L3,BTC,,,,,DEFERRED,,,,ANY,213,0.062629,,3.21275,0.109176,0.292604,True,True,True,1.467889,2.0,,True,129.1,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B0_NORMAL+F_NORMAL+V_LOW,L3,BTC,,,,,DEFERRED,,,,ANY,203,0.059688,,3.237666,0.08426,0.189893,True,True,True,1.19483,4.0,,True,140.3,True,,composite state,,FALSIFIED
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,L3,BTC,,,,,DEFERRED,,,,ANY,196,0.05763,,2.931061,0.390866,-0.558749,True,False,False,0.050695,1.0,,True,139.8,True,,composite state,,FALSIFIED
BTC_B0_NORMAL+F_NORMAL+V_HIGH,L3,BTC,,,,,DEFERRED,,,,ANY,159,0.046751,,3.166807,0.155119,0.388973,True,True,True,1.41736,4.0,,True,134.0,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,L3,BTC,,,,,DEFERRED,,,,ANY,99,0.029109,,2.303318,1.018608,-1.099516,True,True,True,-0.850331,1.0,,True,127.6,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,L3,BTC,,,,,DEFERRED,,,,ANY,96,0.028227,,3.226466,0.095461,0.249089,True,True,True,1.399761,1.5,,True,127.6,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,L3,BTC,,,,,DEFERRED,,,,ANY,73,0.021464,,3.084359,0.237567,-0.473471,True,False,False,0.149758,1.0,,False,121.8,True,,composite state,,FALSIFIED
BTC_B0_NORMAL+F_NORMAL+V_EXTREME,L3,BTC,,,,,DEFERRED,,,,ANY,72,0.02117,,3.183516,0.138411,0.255782,True,True,True,1.34838,2.5,,True,127.3,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,L3,BTC,,,,,DEFERRED,,,,ANY,63,0.018524,,2.94774,0.374187,-0.53996,True,False,False,0.106612,1.0,,True,113.0,True,,composite state,,FALSIFIED
BTC_B0_NORMAL+F_NEG_EXTREME+V_NORMAL,L3,BTC,,,,,DEFERRED,,,,ANY,62,0.01823,,2.96653,0.355396,0.397815,True,True,True,1.610393,1.0,,True,107.9,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,L3,BTC,,,,,DEFERRED,,,,ANY,54,0.015878,,3.059241,0.262685,-0.256848,True,True,True,0.548342,1.0,,True,91.2,True,,composite state,,PROMOTE_TO_ALPHA
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_EXTREME,L3,BTC,,,,,DEFERRED,,,,ANY,38,0.011173,,2.773668,0.548259,-0.560007,True,False,False,,2.0,,False,32.7,True,,composite state,,SPARSE_STATE
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_HIGH,L3,BTC,,,,,DEFERRED,,,,ANY,37,0.010879,,1.837346,1.484581,-1.272298,True,False,False,,1.0,,False,121.0,True,,composite state,,SPARSE_STATE
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL,L3,BTC,,,,,DEFERRED,,,,ANY,35,0.010291,,2.53942,0.782507,-0.861778,True,False,False,,1.0,,False,89.1,True,,composite state,,SPARSE_STATE
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_LOW,L3,BTC,,,,,DEFERRED,,,,ANY,30,0.008821,,2.442622,0.879305,-0.933491,True,False,False,,1.0,,False,94.4,True,,composite state,,SPARSE_STATE
BTC_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,L3,BTC,,,,,DEFERRED,,,,ANY,29,0.008527,,3.000246,0.32168,-0.51324,True,False,False,,1.0,,False,127.4,True,,composite state,,SPARSE_STATE
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_HIGH,L3,BTC,,,,,DEFERRED,,,,ANY,28,0.008233,,2.852746,0.469181,-0.527944,True,False,False,,1.0,,False,91.2,True,,composite state,,SPARSE_STATE
BTC_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_HIGH,L3,BTC,,,,,DEFERRED,,,,ANY,24,0.007057,,2.971252,0.350675,-0.376865,True,False,False,,1.0,,False,90.5,True,,composite state,,SPARSE_STATE
BTC_B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,L3,BTC,,,,,DEFERRED,,,,ANY,23,0.006763,,2.251185,1.070741,-1.149771,True,False,False,,1.0,,False,139.5,True,,composite state,,SPARSE_STATE
BTC_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,L3,BTC,,,,,DEFERRED,,,,ANY,23,0.006763,,2.317951,1.003976,-0.924773,True,False,False,,1.0,,False,51.8,True,,composite state,,SPARSE_STATE
BTC_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,L3,BTC,,,,,DEFERRED,,,,ANY,22,0.006469,,2.114713,1.207214,-0.775754,True,False,False,,1.0,,False,126.4,True,,composite state,,SPARSE_STATE
BTC_B0_NORMAL+F_NEG_EXTREME+V_HIGH,L3,BTC,,,,,DEFERRED,,,,ANY,21,0.006175,,2.624726,0.697201,0.18581,False,False,False,,1.0,,False,91.8,True,,composite state,,SPARSE_STATE
ETH_B0_NORMAL,L1,ETH,B0_NORMAL,,,,DEFERRED,,,,ANY,2551,0.750074,,3.276224,0.045702,0.133666,True,True,True,0.398307,6.0,,True,141.5,True,,basis within normal band,,FALSIFIED
ETH_B3_ELEVATED_NEGATIVE,L1,ETH,B3_ELEVATED_NEGATIVE,,,,DEFERRED,,,,ANY,508,0.149368,,3.111554,0.210373,-0.354589,True,True,True,-0.222244,1.0,,True,138.5,True,,basis within normal band,,PROMOTE_TO_ALPHA
ETH_B4_EXTREME_NEGATIVE,L1,ETH,B4_EXTREME_NEGATIVE,,,,DEFERRED,,,,ANY,340,0.099971,,2.629077,0.69285,-0.731027,True,True,True,-0.857366,1.0,,True,141.1,True,,basis dislocation (arbitrage-band constraint),,PROMOTE_TO_ALPHA
ETH_F_NEG_ELEVATED,L1,ETH,,F_NEG_ELEVATED,,,DEFERRED,,,,ANY,1621,0.476625,,3.318437,0.00349,-0.061763,True,True,True,0.126875,4.0,,True,140.1,True,,funding moderate,,FALSIFIED
ETH_F_NORMAL,L1,ETH,,F_NORMAL,,,DEFERRED,,,,ANY,1492,0.438695,,3.310956,0.010971,0.07579,True,True,True,0.26101,6.0,,True,141.3,True,,funding moderate,,FALSIFIED
ETH_F_NEG_EXTREME,L1,ETH,,F_NEG_EXTREME,,,DEFERRED,,,,ANY,288,0.084681,,3.244617,0.07731,-0.212215,True,False,False,0.1359,4.0,,True,137.5,True,,funding crowding (positioning pressure),,FALSIFIED
ETH_V_NORMAL,L1,ETH,,,,V_NORMAL,DEFERRED,,,,ANY,1792,0.526904,,3.319344,0.002583,-0.030956,False,True,False,0.127264,16.0,,True,141.1,True,,realized volatility regime,,FALSIFIED
ETH_V_LOW,L1,ETH,,,,V_LOW,DEFERRED,,,,ANY,757,0.222582,,3.29922,0.022707,-0.016709,False,False,False,0.039548,16.0,,False,140.6,True,,realized volatility regime,,FALSIFIED
ETH_V_HIGH,L1,ETH,,,,V_HIGH,DEFERRED,,,,ANY,561,0.164951,,3.286205,0.035722,0.083199,True,True,True,0.592061,7.0,,True,139.1,True,,realized volatility regime,,FALSIFIED
ETH_V_EXTREME,L1,ETH,,,,V_EXTREME,DEFERRED,,,,ANY,290,0.085269,,3.25303,0.068897,-0.082105,False,False,False,0.068242,12.0,,True,126.4,True,,realized volatility regime,,FALSIFIED
ETH_MI_NORMAL,L1,ETH,,,,,DEFERRED,MI_NORMAL,,,ANY,2658,0.781535,,3.318589,0.003337,0.034186,False,True,False,0.204556,19.0,,True,141.7,False,,mark-index displacement proxy (premium) — PROVISIONAL,,RESEARCH_ONLY
ETH_MI_STRESS_NEGATIVE,L1,ETH,,,,,DEFERRED,MI_STRESS_NEGATIVE,,,ANY,743,0.218465,,3.285318,0.036609,-0.150609,True,True,True,0.115702,4.0,,True,138.5,False,,mark-index displacement proxy (premium) — PROVISIONAL,,RESEARCH_ONLY
ETH_F_STABLE,L1,ETH,,,F_STABLE,,DEFERRED,,,,ANY,1615,0.47486,,3.319475,0.002452,0.035687,False,True,False,0.230481,3.0,,True,140.5,True,,funding acceleration (crowding build/unwind),,FALSIFIED
ETH_F_ACCEL_POS,L1,ETH,,,F_ACCEL_POS,,DEFERRED,,,,ANY,886,0.260512,,3.315368,0.006559,0.04217,False,True,False,0.232219,3.0,,True,139.6,True,,funding acceleration (crowding build/unwind),,FALSIFIED
ETH_F_ACCEL_NEG,L1,ETH,,,F_ACCEL_NEG,,DEFERRED,,,,ANY,876,0.257571,,3.300161,0.021766,-0.131843,True,False,False,0.046199,3.0,,True,138.2,True,,funding acceleration (crowding build/unwind),,FALSIFIED
ETH_SYNCHRONIZED,L1,ETH,,,,,DEFERRED,,SYNCHRONIZED,,ANY,1757,0.516613,,3.31931,0.002616,0.016887,False,True,False,0.168268,3.0,,True,141.7,True,,cross-asset relative dislocation (BTC/ETH),,FALSIFIED
ETH_BTC_LED,L1,ETH,,,,,DEFERRED,,BTC_LED,,ANY,1017,0.29903,,3.292464,0.029462,0.087721,True,True,True,0.432519,3.0,,True,140.6,True,,cross-asset relative dislocation (BTC/ETH),,FALSIFIED
ETH_ETH_LED,L1,ETH,,,,,DEFERRED,,ETH_LED,,ANY,627,0.184358,,3.219955,0.101971,-0.262662,True,True,True,-0.178338,2.0,,True,139.8,True,,cross-asset relative dislocation (BTC/ETH),,PROMOTE_TO_ALPHA
ETH_NORMAL_CROSS_STATE,L1,ETH,,,,,DEFERRED,,,NORMAL_CROSS_STATE,ANY,2524,0.742135,,3.307086,0.014841,0.076263,True,True,True,0.295945,8.0,,True,141.6,True,,cross-asset systemic stress classification,,FALSIFIED
ETH_BTC_SPECIFIC,L1,ETH,,,,,DEFERRED,,,BTC_SPECIFIC,ANY,388,0.114084,,3.289909,0.032018,-0.007933,False,True,False,0.198899,2.0,,False,135.5,True,,cross-asset systemic stress classification,,FALSIFIED
ETH_ETH_SPECIFIC,L1,ETH,,,,,DEFERRED,,,ETH_SPECIFIC,ANY,325,0.09556,,3.002235,0.319692,-0.468723,True,True,True,-0.429333,1.0,,True,137.9,True,,cross-asset systemic stress classification,,PROMOTE_TO_ALPHA
ETH_SYSTEMIC_STRESS,L1,ETH,,,,,DEFERRED,,,SYSTEMIC_STRESS,ANY,164,0.048221,,2.981823,0.340104,-0.462144,True,True,True,-0.369841,1.0,,True,135.2,True,,cross-asset systemic stress classification,,PROMOTE_TO_ALPHA
ETH_B0_NORMAL+F_NORMAL,L2,ETH,,,,,DEFERRED,,,,ANY,1380,0.405763,,3.283358,0.038569,0.124149,True,True,True,0.378309,5.0,,True,141.2,True,,composite state,,FALSIFIED
ETH_B0_NORMAL+F_NEG_ELEVATED,L2,ETH,,,,,DEFERRED,,,,ANY,1093,0.321376,,3.264774,0.057153,0.144065,True,True,True,0.391415,2.0,,True,140.0,True,,composite state,,FALSIFIED
ETH_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED,L2,ETH,,,,,DEFERRED,,,,ANY,359,0.105557,,3.110646,0.21128,-0.311678,True,False,False,-0.120787,1.0,,True,138.5,True,,composite state,,FALSIFIED
ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED,L2,ETH,,,,,DEFERRED,,,,ANY,169,0.049691,,2.372961,0.948965,-0.846618,True,True,True,-1.128001,1.0,,True,137.6,True,,composite state,,PROMOTE_TO_ALPHA
ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME,L2,ETH,,,,,DEFERRED,,,,ANY,141,0.041458,,2.912531,0.409396,-0.554649,True,True,True,-0.381449,2.0,,True,135.3,True,,composite state,,PROMOTE_TO_ALPHA
ETH_B3_ELEVATED_NEGATIVE+F_NORMAL,L2,ETH,,,,,DEFERRED,,,,ANY,80,0.023522,,2.567311,0.754616,-0.721516,True,True,True,-1.165917,1.0,,True,137.0,True,,composite state,,PROMOTE_TO_ALPHA
ETH_B0_NORMAL+F_NEG_EXTREME,L2,ETH,,,,,DEFERRED,,,,ANY,78,0.022934,,3.097208,0.224719,0.343741,True,True,True,0.910473,1.0,,True,135.8,True,,composite state,,PROMOTE_TO_ALPHA
ETH_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME,L2,ETH,,,,,DEFERRED,,,,ANY,69,0.020288,,3.25813,0.063797,-0.167557,True,False,False,0.317386,1.0,,True,137.5,True,,composite state,F_NEG_EXTREME,REDUNDANT
ETH_B4_EXTREME_NEGATIVE+F_NORMAL,L2,ETH,,,,,DEFERRED,,,,ANY,30,0.008821,,1.704349,1.617577,-0.958594,True,False,False,,1.0,,False,138.3,True,,composite state,,SPARSE_STATE
ETH_B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,L3,ETH,,,,,DEFERRED,,,,ANY,638,0.187592,,3.260529,0.061398,0.144951,True,True,True,0.389831,2.0,,True,138.0,True,,composite state,,FALSIFIED
ETH_B0_NORMAL+F_NORMAL+V_NORMAL,L3,ETH,,,,,DEFERRED,,,,ANY,630,0.18524,,3.260281,0.061645,0.12894,True,True,True,0.245516,3.0,,True,140.3,True,,composite state,,FALSIFIED
ETH_B0_NORMAL+F_NORMAL+V_LOW,L3,ETH,,,,,DEFERRED,,,,ANY,408,0.119965,,3.277099,0.044827,0.04719,False,False,False,0.009262,5.0,,True,140.2,True,,composite state,,FALSIFIED
ETH_B0_NORMAL+F_NORMAL+V_HIGH,L3,ETH,,,,,DEFERRED,,,,ANY,252,0.074096,,3.18532,0.136606,0.19432,True,True,True,1.236104,3.0,,True,139.1,True,,composite state,,FALSIFIED
ETH_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,L3,ETH,,,,,DEFERRED,,,,ANY,240,0.070567,,3.094558,0.227369,-0.307467,True,False,False,-0.100049,1.0,,True,124.4,True,,composite state,,FALSIFIED
ETH_B0_NORMAL+F_NEG_ELEVATED+V_LOW,L3,ETH,,,,,DEFERRED,,,,ANY,226,0.066451,,3.22833,0.093597,0.076492,True,True,True,0.223569,2.0,,False,140.0,True,,composite state,,FALSIFIED
ETH_B0_NORMAL+F_NEG_ELEVATED+V_HIGH,L3,ETH,,,,,DEFERRED,,,,ANY,153,0.044987,,3.229389,0.092538,0.177903,True,True,True,0.46655,1.0,,True,133.6,True,,composite state,,FALSIFIED
ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,L3,ETH,,,,,DEFERRED,,,,ANY,95,0.027933,,2.329458,0.992468,-0.830455,True,True,True,-1.005652,1.0,,True,135.7,True,,composite state,,PROMOTE_TO_ALPHA
ETH_B0_NORMAL+F_NORMAL+V_EXTREME,L3,ETH,,,,,DEFERRED,,,,ANY,90,0.026463,,3.248604,0.073323,0.21411,True,True,True,0.473792,3.0,,False,123.0,True,,composite state,,FALSIFIED
ETH_B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,L3,ETH,,,,,DEFERRED,,,,ANY,76,0.022346,,3.154935,0.166992,0.264181,True,True,True,0.65367,1.0,,True,124.6,True,,composite state,,PROMOTE_TO_ALPHA
ETH_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,L3,ETH,,,,,DEFERRED,,,,ANY,57,0.01676,,3.012396,0.309531,-0.341015,True,False,False,-0.147421,1.0,,False,132.8,True,,composite state,,FALSIFIED
ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_NORMAL,L3,ETH,,,,,DEFERRED,,,,ANY,55,0.016172,,2.688738,0.633189,-0.64792,True,True,True,-0.575242,1.0,,True,135.3,True,,composite state,,PROMOTE_TO_ALPHA
ETH_B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,L3,ETH,,,,,DEFERRED,,,,ANY,45,0.013231,,2.739535,0.582392,-0.337484,True,False,False,,1.0,,False,112.0,True,,composite state,,SPARSE_STATE
ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_EXTREME,L3,ETH,,,,,DEFERRED,,,,ANY,44,0.012937,,2.732746,0.589181,-0.645555,True,False,False,,2.0,,False,73.1,True,,composite state,,SPARSE_STATE
ETH_B3_ELEVATED_NEGATIVE+F_NORMAL+V_NORMAL,L3,ETH,,,,,DEFERRED,,,,ANY,43,0.012643,,2.338261,0.983666,-0.739972,True,False,False,,1.0,,False,133.4,True,,composite state,,SPARSE_STATE
ETH_B3_ELEVATED_NEGATIVE+F_NEG_EXTREME+V_NORMAL,L3,ETH,,,,,DEFERRED,,,,ANY,38,0.011173,,3.233998,0.087929,-0.079405,False,False,False,,1.0,,False,137.5,True,,composite state,,SPARSE_STATE
ETH_B0_NORMAL+F_NEG_EXTREME+V_NORMAL,L3,ETH,,,,,DEFERRED,,,,ANY,38,0.011173,,3.17679,0.145137,0.222107,True,False,False,,1.0,,False,135.8,True,,composite state,,SPARSE_STATE
ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_HIGH,L3,ETH,,,,,DEFERRED,,,,ANY,31,0.009115,,2.213297,1.10863,-0.799835,True,False,False,,1.0,,False,132.0,True,,composite state,,SPARSE_STATE
ETH_B4_EXTREME_NEGATIVE+F_NEG_EXTREME+V_LOW,L3,ETH,,,,,DEFERRED,,,,ANY,30,0.008821,,2.89893,0.422997,-0.345489,True,False,False,,3.0,,False,43.0,True,,composite state,,SPARSE_STATE
ETH_B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_EXTREME,L3,ETH,,,,,DEFERRED,,,,ANY,25,0.007351,,2.095242,1.226685,-0.991679,True,False,False,,1.0,,False,126.1,True,,composite state,,SPARSE_STATE
