asset,level,state,n,n_censored,curve_points,t_hours,p_not_resolved,n_at_risk,state_field
BTC,state,F_NEG_ELEVATED,1936,3,,2.0,0.12706611570248214,246,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,3.0,0.07128099173553869,138,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,4.0,0.04080578512396778,79,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,5.0,0.024793388429752556,48,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,6.0,0.01859504132231441,36,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,7.0,0.013946280991735813,27,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,8.0,0.012396694214876278,24,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,9.0,0.010847107438016743,21,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,10.0,0.008264462809917517,16,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,11.0,0.006714876033057983,13,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,12.0,0.005681818181818294,11,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,13.0,0.005165289256198449,10,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,14.0,0.004648760330578604,9,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,15.0,0.0041322314049587585,8,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,16.0,0.0036157024793389138,7,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,19.0,0.0030991735537190686,6,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,20.0,0.002582644628099224,5,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,21.0,0.0020661157024793792,4,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,22.0,0.0015495867768595345,3,funding_state
BTC,state,F_NEG_ELEVATED,1936,3,,120.0,0.0015495867768595345,0,funding_state
BTC,state,F_NORMAL,1129,0,,0.0,1.0,1129,funding_state
BTC,state,F_NORMAL,1129,0,,1.0,0.07351638618246317,83,funding_state
BTC,state,F_NORMAL,1129,0,,2.0,0.01682905225863616,19,funding_state
BTC,state,F_NORMAL,1129,0,,3.0,0.006200177147918583,7,funding_state
BTC,state,F_NORMAL,1129,0,,4.0,0.004428697962798988,5,funding_state
BTC,state,F_NORMAL,1129,0,,5.0,0.0035429583702391906,4,funding_state
BTC,state,F_NORMAL,1129,0,,6.0,0.0008857395925597976,1,funding_state
BTC,state,F_NORMAL,1129,0,,7.0,0.0,0,funding_state
BTC,state,F_NEG_EXTREME,336,0,,0.0,1.0,336,funding_state
BTC,state,F_NEG_EXTREME,336,0,,1.0,0.6458333333333343,217,funding_state
BTC,state,F_NEG_EXTREME,336,0,,2.0,0.46428571428571563,156,funding_state
BTC,state,F_NEG_EXTREME,336,0,,3.0,0.3303571428571442,111,funding_state
BTC,state,F_NEG_EXTREME,336,0,,4.0,0.24702380952381078,83,funding_state
BTC,state,F_NEG_EXTREME,336,0,,5.0,0.1904761904761914,64,funding_state
BTC,state,F_NEG_EXTREME,336,0,,6.0,0.14285714285714352,48,funding_state
BTC,state,F_NEG_EXTREME,336,0,,7.0,0.11309523809523858,38,funding_state
BTC,state,F_NEG_EXTREME,336,0,,8.0,0.07738095238095272,26,funding_state
BTC,state,F_NEG_EXTREME,336,0,,9.0,0.05654761904761929,19,funding_state
BTC,state,F_NEG_EXTREME,336,0,,10.0,0.041666666666666845,14,funding_state
BTC,state,F_NEG_EXTREME,336,0,,11.0,0.02976190476190489,10,funding_state
BTC,state,F_NEG_EXTREME,336,0,,12.0,0.01785714285714293,6,funding_state
BTC,state,F_NEG_EXTREME,336,0,,13.0,0.01488095238095244,5,funding_state
BTC,state,F_NEG_EXTREME,336,0,,14.0,0.011904761904761953,4,funding_state
BTC,state,F_NEG_EXTREME,336,0,,15.0,0.008928571428571465,3,funding_state
BTC,state,F_NEG_EXTREME,336,0,,16.0,0.005952380952380976,2,funding_state
BTC,state,F_NEG_EXTREME,336,0,,17.0,0.002976190476190488,1,funding_state
BTC,state,F_NEG_EXTREME,336,0,,18.0,0.0,0,funding_state
BTC,state,V_NORMAL,1856,2,,0.0,1.0,1856,vol_state
BTC,state,V_NORMAL,1856,2,,1.0,0.22898706896551232,425,vol_state
BTC,state,V_NORMAL,1856,2,,2.0,0.10937499999999817,203,vol_state
BTC,state,V_NORMAL,1856,2,,3.0,0.06519396551724026,121,vol_state
BTC,state,V_NORMAL,1856,2,,4.0,0.04094827586206829,76,vol_state
BTC,state,V_NORMAL,1856,2,,5.0,0.02747844827586162,51,vol_state
BTC,state,V_NORMAL,1856,2,,6.0,0.01831896551724109,34,vol_state
BTC,state,V_NORMAL,1856,2,,7.0,0.011853448275861888,22,vol_state
BTC,state,V_NORMAL,1856,2,,8.0,0.0075431034482757444,14,vol_state
BTC,state,V_NORMAL,1856,2,,9.0,0.005926724137930942,11,vol_state
BTC,state,V_NORMAL,1856,2,,10.0,0.00431034482758614,8,vol_state
BTC,state,V_NORMAL,1856,2,,11.0,0.0026939655172413374,5,vol_state
BTC,state,V_NORMAL,1856,2,,12.0,0.001077586206896535,2,vol_state
BTC,state,V_NORMAL,1856,2,,120.0,0.001077586206896535,0,vol_state
BTC,state,V_LOW,684,0,,0.0,1.0,684,vol_state
BTC,state,V_LOW,684,0,,1.0,0.2061403508771929,141,vol_state
BTC,state,V_LOW,684,0,,2.0,0.09356725146198838,64,vol_state
BTC,state,V_LOW,684,0,,3.0,0.057017543859649196,39,vol_state
BTC,state,V_LOW,684,0,,4.0,0.035087719298245675,24,vol_state
BTC,state,V_LOW,684,0,,5.0,0.02339181286549712,16,vol_state
BTC,state,V_LOW,684,0,,6.0,0.01754385964912284,12,vol_state
BTC,state,V_LOW,684,0,,7.0,0.0146198830409357,10,vol_state
BTC,state,V_LOW,684,0,,8.0,0.01169590643274856,8,vol_state
BTC,state,V_LOW,684,0,,9.0,0.007309941520467849,5,vol_state
BTC,state,V_LOW,684,0,,10.0,0.0029239766081871395,2,vol_state
BTC,state,V_LOW,684,0,,11.0,0.0014619883040935698,1,vol_state
BTC,state,V_LOW,684,0,,12.0,0.0,0,vol_state
BTC,state,V_HIGH,577,0,,0.0,1.0,577,vol_state
BTC,state,V_HIGH,577,0,,1.0,0.31195840554592924,180,vol_state
BTC,state,V_HIGH,577,0,,2.0,0.15424610051993148,89,vol_state
BTC,state,V_HIGH,577,0,,3.0,0.07972270363951509,46,vol_state
BTC,state,V_HIGH,577,0,,4.0,0.04506065857885634,26,vol_state
BTC,state,V_HIGH,577,0,,5.0,0.024263431542461113,14,vol_state
BTC,state,V_HIGH,577,0,,6.0,0.013864818024263491,8,vol_state
BTC,state,V_HIGH,577,0,,7.0,0.008665511265164683,5,vol_state
BTC,state,V_HIGH,577,0,,8.0,0.00519930675909881,3,vol_state
BTC,state,V_HIGH,577,0,,9.0,0.003466204506065873,2,vol_state
BTC,state,V_HIGH,577,0,,10.0,0.0017331022530329364,1,vol_state
BTC,state,V_HIGH,577,0,,11.0,0.0,0,vol_state
BTC,state,V_EXTREME,283,0,,0.0,1.0,283,vol_state
BTC,state,V_EXTREME,283,0,,1.0,0.36749116607773774,104,vol_state
BTC,state,V_EXTREME,283,0,,2.0,0.22614840989399268,64,vol_state
BTC,state,V_EXTREME,283,0,,3.0,0.17314487632508813,49,vol_state
BTC,state,V_EXTREME,283,0,,4.0,0.1413427561837454,40,vol_state
BTC,state,V_EXTREME,283,0,,5.0,0.12014134275618357,34,vol_state
BTC,state,V_EXTREME,283,0,,6.0,0.10600706713780902,30,vol_state
BTC,state,V_EXTREME,283,0,,7.0,0.09540636042402813,27,vol_state
BTC,state,V_EXTREME,283,0,,8.0,0.08480565371024722,24,vol_state
BTC,state,V_EXTREME,283,0,,9.0,0.0742049469964663,21,vol_state
BTC,state,V_EXTREME,283,0,,10.0,0.0636042402826854,18,vol_state
BTC,state,V_EXTREME,283,0,,11.0,0.05653710247349812,16,vol_state
BTC,state,V_EXTREME,283,0,,12.0,0.04946996466431086,14,vol_state
BTC,state,V_EXTREME,283,0,,13.0,0.0424028268551236,12,vol_state
BTC,state,V_EXTREME,283,0,,14.0,0.03533568904593633,10,vol_state
BTC,state,V_EXTREME,283,0,,15.0,0.028268551236749064,8,vol_state
BTC,state,V_EXTREME,283,0,,16.0,0.021201413427561797,6,vol_state
BTC,state,V_EXTREME,283,0,,17.0,0.017667844522968164,5,vol_state
BTC,state,V_EXTREME,283,0,,18.0,0.014134275618374532,4,vol_state
BTC,state,V_EXTREME,283,0,,19.0,0.010600706713780899,3,vol_state
BTC,state,V_EXTREME,283,0,,20.0,0.007067137809187265,2,vol_state
BTC,state,V_EXTREME,283,0,,21.0,0.0035335689045936326,1,vol_state
BTC,state,V_EXTREME,283,0,,22.0,0.0,0,vol_state
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,0.0,1.0,752,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,1.0,0.2154255319148953,162,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,2.0,0.0837765957446816,63,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,3.0,0.043882978723404645,33,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,4.0,0.02393617021276618,18,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,5.0,0.013297872340425655,10,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,6.0,0.010638297872340524,8,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,7.0,0.006648936170212828,5,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,8.0,0.005319148936170262,4,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,11.0,0.0039893617021276966,3,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,12.0,0.0013297872340425655,1,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_NORMAL,752,1,,120.0,0.0013297872340425655,0,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_NORMAL,622,0,,0.0,1.0,622,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_NORMAL,622,0,,1.0,0.06430868167202608,40,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_NORMAL,622,0,,2.0,0.009646302250803913,6,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_NORMAL,622,0,,3.0,0.00643086816720261,4,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_NORMAL,622,0,,4.0,0.004823151125401957,3,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_NORMAL,622,0,,6.0,0.0016077170418006524,1,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_NORMAL,622,0,,7.0,0.0,0,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_LOW,325,0,,0.0,1.0,325,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_LOW,325,0,,1.0,0.1753846153846151,57,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_LOW,325,0,,2.0,0.0615384615384614,20,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_LOW,325,0,,3.0,0.03384615384615377,11,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_LOW,325,0,,4.0,0.015384615384615346,5,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_LOW,325,0,,5.0,0.003076923076923069,1,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_LOW,325,0,,6.0,0.0,0,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,0.0,1.0,213,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,1.0,0.30046948356807524,64,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,2.0,0.1220657276995305,26,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,3.0,0.061032863849765265,13,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,4.0,0.03286384976525822,7,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,5.0,0.0187793427230047,4,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,6.0,0.009389671361502348,2,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,7.0,0.004694835680751174,1,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_HIGH,213,0,,10.0,0.0,0,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_LOW,203,0,,0.0,1.0,203,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_LOW,203,0,,1.0,0.05418719211822671,11,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_LOW,203,0,,2.0,0.0,0,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,0.0,1.0,196,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,1.0,0.4081632653061228,80,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,2.0,0.18877551020408173,37,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,3.0,0.09693877551020412,19,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,4.0,0.06122448979591839,12,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,5.0,0.045918367346938785,9,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,6.0,0.030612244897959186,6,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,7.0,0.015306122448979595,3,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,8.0,0.010204081632653062,2,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,196,0,,10.0,0.0,0,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_HIGH,159,0,,0.0,1.0,159,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_HIGH,159,0,,1.0,0.07547169811320761,12,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_HIGH,159,0,,2.0,0.04402515723270443,7,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_HIGH,159,0,,3.0,0.006289308176100633,1,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_HIGH,159,0,,5.0,0.0,0,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,0.0,1.0,99,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,1.0,0.4949494949494951,49,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,2.0,0.31313131313131315,31,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,3.0,0.20202020202020202,20,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,4.0,0.101010101010101,10,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,5.0,0.06060606060606059,6,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,6.0,0.030303030303030297,3,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,9.0,0.020202020202020197,2,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,11.0,0.010101010101010098,1,composite_l3
BTC,state,B4_EXTREME_NEGATIVE+F_NEG_ELEVATED+V_NORMAL,99,1,,120.0,0.010101010101010098,0,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,0.0,1.0,96,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,1.0,0.3124999999999999,30,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,2.0,0.1354166666666666,13,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,3.0,0.08333333333333327,8,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,4.0,0.052083333333333294,5,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,5.0,0.04166666666666664,4,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,6.0,0.03124999999999998,3,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,10.0,0.02083333333333332,2,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,16.0,0.01041666666666666,1,composite_l3
BTC,state,B0_NORMAL+F_NEG_ELEVATED+V_EXTREME,96,0,,22.0,0.0,0,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,73,0,,0.0,1.0,73,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,73,0,,1.0,0.4383561643835613,32,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,73,0,,2.0,0.20547945205479426,15,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,73,0,,3.0,0.09589041095890398,7,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,73,0,,4.0,0.06849315068493142,5,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,73,0,,5.0,0.013698630136986283,1,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_HIGH,73,0,,7.0,0.0,0,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_EXTREME,72,0,,0.0,1.0,72,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_EXTREME,72,0,,1.0,0.05555555555555552,4,composite_l3
BTC,state,B0_NORMAL+F_NORMAL+V_EXTREME,72,0,,2.0,0.0,0,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,63,0,,0.0,1.0,63,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,63,0,,1.0,0.34920634920634896,22,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,63,0,,2.0,0.17460317460317445,11,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,63,0,,3.0,0.07936507936507929,5,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,63,0,,4.0,0.031746031746031717,2,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,63,0,,5.0,0.015873015873015858,1,composite_l3
BTC,state,B3_ELEVATED_NEGATIVE+F_NEG_ELEVATED+V_LOW,63,0,,10.0,0.0,0,composite_l3
BTC,state,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,62,0,,0.0,1.0,62,composite_l3
BTC,state,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,62,0,,1.0,0.40322580645161316,25,composite_l3
BTC,state,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,62,0,,2.0,0.25806451612903236,16,composite_l3
BTC,state,B0_NORMAL+F_NEG_EXTREME+V_NORMAL,62,0,,3.0,0.16129032258064524,10,composite_l3
